postcode,locality,state,lat,long
1401,BROADWAY,NSW,-34.7063889,149.0805556
1405,CHULLORA,NSW,-33.8925,151.0477778
1419,SOUTHERN SUBURBS MC,NSW,,
1420,STRAWBERRY HILLS,NSW,-33.8892149,151.2084122
1422,STRAWBERRY HILLS,NSW,-33.8892149,151.2084122
1423,STRAWBERRY HILLS,NSW,-33.8892149,151.2084122
1424,STRAWBERRY HILLS,NSW,-33.8892149,151.2084122
1425,STRAWBERRY HILLS,NSW,-33.8892149,151.2084122
1426,STRAWBERRY HILLS,NSW,-33.8892149,151.2084122
1427,STRAWBERRY HILLS,NSW,-33.8892149,151.2084122
1428,STRAWBERRY HILLS,NSW,-33.8892149,151.2084122
1429,STRAWBERRY HILLS,NSW,-33.8892149,151.2084122
1430,EVELEIGH,NSW,-33.895,151.1913889
1435,ALEXANDRIA,NSW,-33.9091568,151.1921281
1440,WATERLOO,NSW,-33.9002762,151.2073137
1441,WATERLOO,NSW,-33.9002762,151.2073137
1445,ROSEBERY,NSW,-33.9185861,151.204692
1450,CAMPERDOWN,NSW,-33.8896116,151.1800986
1455,BOTANY,NSW,-33.947829,151.1990644
1460,MASCOT,NSW,-33.9289562,151.1951782
1465,KENSINGTON,NSW,-33.9117191,151.2195058
1466,UNSW SYDNEY,NSW,-33.9061522,151.197683
1470,DRUMMOYNE,NSW,-33.8520678,151.153689
1475,MARRICKVILLE,NSW,-33.9104,151.1560775
1476,MARRICKVILLE,NSW,-33.9104,151.1560775
1480,KINGSGROVE,NSW,-33.9371844,151.0996523
1481,HURSTVILLE BC,NSW,-33.960707,151.1003611
1484,KINGSGROVE DC,NSW,,
1485,KOGARAH,NSW,-33.968226,151.1354509
1490,MIRANDA,NSW,-34.0335434,151.1037193
1493,HURSTVILLE,NSW,-33.960707,151.1003611
1495,CARINGBAH,NSW,-34.0354477,151.1248018
1499,SUTHERLAND,NSW,-34.0717253,151.0492959
1515,WEST CHATSWOOD,NSW,-33.7960029,151.1597081
1560,NORTHBRIDGE,NSW,-31.9478509,115.8575464
1565,MILSONS POINT,NSW,-33.8471255,151.2115234
1570,ARTARMON,NSW,-33.8084051,151.184511
1585,CROWS NEST,NSW,-27.2612975,152.0555164
1590,ST LEONARDS,NSW,-33.8225666,151.1923402
1595,LANE COVE,NSW,-33.8145001,151.1684189
1597,LANE COVE,NSW,-33.8145001,151.1684189
1602,LANE COVE DC,NSW,,
1630,HORNSBY,NSW,-33.5724083,151.1317755
1635,HORNSBY WESTFIELD,NSW,-33.7031621,151.1023451
1639,FRENCHS FOREST,NSW,-33.7479954,151.2292718
1640,FRENCHS FOREST,NSW,-33.7479954,151.2292718
1655,MANLY,NSW,-33.7971937,151.2879845
1658,MONA VALE,NSW,-33.6769931,151.3029577
1660,MONA VALE,NSW,-33.6769931,151.3029577
1670,NORTH RYDE,NSW,-33.7975472,151.127306
1670,NORTH RYDE BC,NSW,-33.7975472,151.127306
1675,GLADESVILLE,NSW,-33.8275,151.1263889
1680,RYDE,NSW,-33.8015751,151.1046052
1685,WEST RYDE,NSW,-33.8094444,151.0858333
1700,ERMINGTON,NSW,-33.8101156,151.0600559
1710,EPPING,NSW,-33.7718546,151.0745367
1715,PENNANT HILLS,NSW,-33.7384663,151.0716639
1730,SEVEN HILLS,NSW,-33.7760305,150.9427044
1740,PARRAMATTA,NSW,-33.8139843,151.002666
1741,PARRAMATTA,NSW,-33.8139843,151.002666
1750,NORTH PARRAMATTA,NSW,-33.7952747,151.0116649
1755,BAULKHAM HILLS,NSW,-33.7611198,150.9914041
1765,CASTLE HILL,NSW,-33.7317524,151.0069279
1771,PENNANT HILLS,NSW,-33.7384663,151.0716639
1781,SEVEN HILLS MC,NSW,,
1790,ST MARYS,NSW,-33.7650204,150.7677778
1800,ASHFIELD,NSW,-33.8894781,151.1274125
1805,BURWOOD,NSW,-33.8858088,151.1024805
1811,SILVERWATER,NSW,-33.1029115,151.5600857
1819,STRATHFIELD,NSW,-33.8798136,151.078506
1825,LIDCOMBE,NSW,-33.8630649,151.0456771
1830,GRANVILLE,NSW,-33.8345097,151.0060111
1831,GRANVILLE,NSW,-33.8345097,151.0060111
1835,AUBURN,NSW,-33.8545702,151.0255673
1851,WETHERILL PARK,NSW,-33.8483333,150.9011111
1851,WETHERILL PARK DC,NSW,,
1860,FAIRFIELD,NSW,-33.8674403,150.8893222
1871,LIVERPOOL,NSW,-33.9198252,150.92566
1874,MOOREBANK,NSW,-33.9332633,150.949686
1875,MOOREBANK,NSW,-33.9332633,150.949686
1885,BANKSTOWN,NSW,-33.9171897,151.0335881
1888,BANKSTOWN,NSW,-33.9171897,151.0335881
1890,INGLEBURN,NSW,-33.9983333,150.8511111
1891,MILPERRA,NSW,-33.9388237,150.9846424
2000,BARANGAROO,NSW,-33.8614084,151.2016877
2000,DARLING HARBOUR,NSW,-33.8675516,151.1995619
2000,DAWES POINT,NSW,-33.8572223,151.2067756
2000,HAYMARKET,NSW,-33.8814408,151.2044524
2000,MILLERS POINT,NSW,-33.8591,151.2042529
2000,PARLIAMENT HOUSE,NSW,-33.8672652,151.2127378
2000,SYDNEY,NSW,-33.8698439,151.2082848
2000,SYDNEY SOUTH,NSW,-33.8737539,151.2095867
2000,THE ROCKS,NSW,-33.859992,151.2083216
2001,SYDNEY,NSW,-33.8698439,151.2082848
2002,WORLD SQUARE,NSW,-33.8772655,151.2072677
2004,ALEXANDRIA MC,NSW,,
2004,EASTERN SUBURBS MC,NSW,,
2006,THE UNIVERSITY OF SYDNEY,NSW,-33.8889073,151.1894111
2007,BROADWAY,NSW,-33.8841894,151.200396
2007,ULTIMO,NSW,-33.8794728,151.1984346
2008,CHIPPENDALE,NSW,-33.8863291,151.1998211
2008,DARLINGTON,NSW,-33.890862,151.1932156
2008,GOLDEN GROVE,NSW,-33.8923843,151.1942229
2009,DARLING ISLAND,NSW,-33.8650803,151.196025
2009,PYRMONT,NSW,-33.8692145,151.1923633
2010,DARLINGHURST,NSW,-33.8783381,151.219225
2010,SURRY HILLS,NSW,-33.8845123,151.2100301
2010,TAYLOR SQUARE,NSW,-33.8809336,151.2167639
2011,ELIZABETH BAY,NSW,-33.8716908,151.2282875
2011,HMAS KUTTABUL,NSW,-33.8672033,151.2262519
2011,KINGS CROSS,NSW,-33.8744874,151.2222308
2011,POTTS POINT,NSW,-33.867522,151.2243115
2011,RUSHCUTTERS BAY,NSW,-33.8750365,151.2276557
2011,WOOLLOOMOOLOO,NSW,-33.8718758,151.2192218
2012,STRAWBERRY HILLS,NSW,-33.8892149,151.2084122
2013,STRAWBERRY HILLS,NSW,-33.8892149,151.2084122
2015,ALEXANDRIA,NSW,-33.9091568,151.1921281
2015,BEACONSFIELD,NSW,-33.9114691,151.200315
2015,EVELEIGH,NSW,-33.895,151.1913889
2016,REDFERN,NSW,-33.8931044,151.2040292
2017,WATERLOO,NSW,-33.9002762,151.2073137
2017,WATERLOO DC,NSW,,
2017,ZETLAND,NSW,-33.9076623,151.2082183
2018,EASTLAKES,NSW,-33.9310733,151.2113667
2018,ROSEBERY,NSW,-33.9185861,151.204692
2019,BANKSMEADOW,NSW,-33.9542459,151.2157073
2019,BOTANY,NSW,-33.947829,151.1990644
2020,MASCOT,NSW,-33.9289562,151.1951782
2020,SYDNEY DOMESTIC AIRPORT,NSW,-33.9265519,151.1769902
2020,SYDNEY INTERNATIONAL AIRPORT,NSW,-33.9498935,151.1819682
2021,CENTENNIAL PARK,NSW,-33.8977778,151.2338889
2021,MOORE PARK,NSW,-33.8958333,151.2219444
2021,PADDINGTON,NSW,-33.8841572,151.2272766
2022,BONDI JUNCTION,NSW,-33.8930034,151.2501228
2022,BONDI JUNCTION PLAZA,NSW,,
2022,QUEENS PARK,NSW,-33.8991667,151.2472222
2023,BELLEVUE HILL,NSW,-33.8797123,151.2561988
2024,BRONTE,NSW,-33.9042128,151.2637774
2024,CHARING CROSS,NSW,-33.9002597,151.25359
2024,WAVERLEY,NSW,-33.9019365,151.2558816
2025,WOOLLAHRA,NSW,-33.8857968,151.2440867
2026,BEN BUCKLER,NSW,-33.891517,151.2841942
2026,BONDI,NSW,-33.8930556,151.2633333
2026,BONDI BEACH,NSW,-33.8906977,151.2724119
2026,NORTH BONDI,NSW,-33.882351,151.2768611
2026,TAMARAMA,NSW,-33.8987452,151.2710753
2027,DARLING POINT,NSW,-33.8730723,151.2376378
2027,EDGECLIFF,NSW,-33.8797692,151.2361116
2027,HMAS RUSHCUTTERS,NSW,,
2027,POINT PIPER,NSW,-33.8676276,151.2515727
2028,DOUBLE BAY,NSW,-33.8766373,151.24245
2029,ROSE BAY,NSW,-33.8741644,151.265471
2030,DIAMOND BAY,NSW,-33.8611554,151.278647
2030,DOVER HEIGHTS,NSW,-33.8739831,151.2810366
2030,HMAS WATSON,NSW,-33.8377416,151.2806351
2030,ROSE BAY NORTH,NSW,-33.878386,151.276112
2030,VAUCLUSE,NSW,-33.8558564,151.2761018
2030,WATSONS BAY,NSW,-33.8432736,151.2825736
2031,CLOVELLY,NSW,-33.9126387,151.2617904
2031,CLOVELLY WEST,NSW,-33.911446,151.254856
2031,RANDWICK,NSW,-33.914121,151.2410046
2031,RANDWICK DC,NSW,,
2031,ST PAULS,NSW,-33.914832,151.239167
